Lingula anatina	7574	28
Haliotis rufescens	6454	21
Haliotis rubra	36100	16
Ostrea edulis	37623	15
Mizuhopecten yessoensis	6573	13
Branchiostoma belcheri	7741	12
Sinocyclocheilus anshuiensis	1608454	11
Lottia gigantea	225164	10
Styela clava	7725	9
Sinocyclocheilus grahami	75366	9
Sinocyclocheilus rhinocerous	307959	8
Trematomus bernacchii	40690	8
Poecilia mexicana	48701	8
Colossoma macropomum	42526	7
Stegastes partitus	144197	7
Priapulus caudatus	37621	7
Monopterus albus	43700	7
Aplysia californica	6500	7
Boleophthalmus pectinirostris	150288	6
Pimephales promelas	90988	6
Micropterus salmoides	27706	6
Labrus bergylta	56723	6
Oryx dammah	59534	6
Pungitius pungitius	134920	6
Poecilia formosa	48698	6
Poecilia latipinna	48699	6
Seriola lalandi dorsalis	302047	6
Seriola dumerili	41447	6
Onthophagus taurus	166361	6
Cyprinodon variegatus	28743	6
Paramormyrops kingsleyae	1676925	6
Eurytemora affinis	88015	5
Bos mutus	72004	5
Talpa occidentalis	50954	5
Agrilus planipennis	224129	5
Simochromis diagramma	43689	5
Amphiprion ocellaris	80972	5
Morone saxatilis	34816	5
Anarrhichthys ocellatus	433405	5
Gymnodraco acuticeps	8218	5
Paralichthys olivaceus	8255	5
Delphinapterus leucas	9749	5
Bison bison bison	9901	5
Austrofundulus limnaeus	52670	5
Limulus polyphemus	6850	5
Echinops telfairi	9371	4
Pteropus alecto	9402	4
Elephantulus edwardii	28737	4
Pollicipes pollicipes	41117	4
Vombatus ursinus	29139	4
Enhydra lutris kenyoni	34882	4
Orycteropus afer afer	9818	4
Puma yagouaroundi	1608482	4
Pteropus giganteus	143291	4
Dipodomys ordii	10020	4
Pteropus vampyrus	132908	4
Puma concolor	9696	4
Equus przewalskii	9798	4
Desmodus rotundus	9430	4
Lontra canadensis	76717	4
Myotis myotis	51298	4
Vicugna pacos	30538	4
Loxodonta africana	9785	4
Eptesicus fuscus	29078	4
Molossus molossus	27622	4
Erinaceus europaeus	9365	4
Eumetopias jubatus	34886	4
Neophocaena asiaeorientalis asiaeorientalis	189058	4
Notechis scutatus	8663	4
Halichoerus grypus	9711	4
Heterocephalus glaber	10181	4
Hippocampus comes	109280	4
Hyaena hyaena	95912	4
Globicephala melas	9731	4
Phoca vitulina	9720	4
Gekko japonicus	146911	4
Phyllostomus hastatus	9423	4
Hylobates moloch	81572	4
Neolamprologus brichardi	32507	4
Panthera pardus	9691	4
Fukomys damarensis	885580	4
Pocillopora damicornis	46731	4
Vulpes vulpes	9627	4
Lagenorhynchus obliquidens	90247	4
Nannospalax galili	1026970	4
Exaiptasia diaphana	2652724	4
Macaca nemestrina	9545	4
Otolemur garnettii	30611	4
Balaenoptera acutorostrata scammoni	9767	4
Lynx rufus	61384	4
Rhagoletis zephyria	28612	4
Stomoxys calcitrans	35570	4
Marmota monax	9995	4
Sturnira hondurensis	192404	4
Odocoileus virginianus texanus	9874	4
Meriones unguiculatus	10047	4
Urocitellus parryii	9999	4
Cebus imitator	2715852	4
Cavia porcellus	10141	4
Castor canadensis	51338	4
Odobenus rosmarus divergens	9707	4
Octodon degus	10160	4
Syngnathus scovelli	161590	4
Callorhinus ursinus	34884	4
Callorhinchus milii	7868	4
Mesocricetus auratus	10036	4
Terrapene carolina triunguis	158814	4
Tupaia chinensis	246437	4
Microtus fortis	100897	4
Miniopterus natalensis	291302	4
Mirounga angustirostris	9716	4
Mirounga leonina	9715	4
Trachypithecus francoisi	54180	4
Monodon monoceros	40151	4
Trichechus manatus latirostris	9778	4
Cercocebus atys	9531	4
Ceratotherium simum simum	9807	4
Marmota marmota marmota	9993	4
Manis javanica	9974	4
Myotis davidii	225400	4
Mandrillus leucophaeus	9568	4
Rousettus aegyptiacus	9407	4
Saimiri boliviensis boliviensis	27679	4
Sapajus apella	9515	4
Aotus nancymaae	37293	4
Myotis brandtii	109478	4
Myodes glareolus	447135	4
Condylura cristata	143302	4
Ursus maritimus	29073	4
Ursus arctos	9644	4
Colobus angolensis palliatus	54131	4
Haplochromis burtoni	8153	4
Sorex araneus	42254	4
Chlorocebus sabaeus	60711	4
Marmota flaviventris	93162	4
Manis pentadactyla	143292	4
Chinchilla lanigera	34839	4
Ochotona curzoniae	130825	4
Lipotes vexillifer	118797	4
Chrysochloris asiatica	185453	4
Latimeria chalumnae	7897	3
Notothenia coriiceps	8208	3
Nanorana parkeri	125878	3
Ixodes scapularis	6945	3
Megalopta genalis	115081	3
Pantherophis guttatus	94885	3
Leptonychotes weddellii	9713	3
Myotis lucifugus	59463	3
Hipposideros armiger	186990	3
Propithecus coquereli	379532	3
Parasteatoda tepidariorum	114398	3
Dermatophagoides pteronyssinus	6956	3
Dasypus novemcinctus	9361	3
Python bivittatus	176946	3
Apis laboriosa	183418	3
Ctenocephalides felis	7515	3
Rhinopithecus bieti	61621	3
Sitophilus oryzae	7048	3
Chelonus insularis	460826	3
Chelonoidis abingdonii	106734	3
Atta cephalotes	12957	3
Atta colombica	520822	3
Ceratina calcarata	156304	3
Bactrocera oleae	104688	3
Centruroides sculpturatus	218467	3
Carlito syrichta	1868482	3
Stylophora pistillata	50429	3
Pundamilia nyererei	303518	3
Varanus komodoensis	61221	3
Alligator mississippiensis	8496	3
Alligator sinensis	38654	3
Pelodiscus sinensis	13735	3
Grammomys surdaster	491861	3
Galeopterus variegatus	482537	3
Pipistrellus kuhlii	59472	3
Formica exsecta	72781	3
Folsomia candida	158441	3
Pogona vitticeps	103695	3
Trachymyrmex septentrionalis	34720	3
Amphimedon queenslandica	400682	3
Protobothrops mucrosquamatus	103944	3
Pseudonaja textilis	8673	3
Nylanderia fulva	613905	2
Varroa destructor	109461	2
Vollenhovia emeryi	411798	2
Tyto alba	56313	2
Vanessa tameamea	334116	2
Nothoprocta perdicaria	30464	2
Wasmannia auropunctata	64793	2
Zeugodacus cucurbitae	28588	2
Trachymyrmex cornetzi	471704	2
Zonotrichia albicollis	44394	2
Tribolium madens	41895	2
Trachymyrmex zeteki	64791	2
Varroa jacobsoni	62625	2
Stegodyphus dumicola	202533	2
Thamnophis sirtalis	35019	2
Tetranychus urticae	32264	2
Passer montanus	9160	2
Papilio polytes	76194	2
Phasianus colchicus	9054	2
Photinus pyralis	7054	2
Pipra filicauda	649802	2
Pogonomyrmex barbatus	144034	2
Nipponia nippon	128390	2
Pseudomyrmex gracilis	219809	2
Pseudopodoces humilis	181119	2
Orussus abietinus	222816	2
Orbicella faveolata	48498	2
Onychostruthus taczanowskii	356909	2
Pyrgilauda ruficollis	221976	2
Rhagoletis pomonella	28610	2
Papilio xuthus	66420	2
Struthio camelus australis	8801	2
Odontomachus brunneus	486640	2
Sturnus vulgaris	9172	2
Temnothorax curvispinosus	300111	2
Nomia melanderi	2448451	2
Acanthisitta chloris	57068	2
Nicrophorus vespilloides	110193	2
Cryptotermes secundus	105785	2
Chaetura pelagica	8897	2
Charadrius vociferus	50402	2
Colletes gigas	935657	2
Columba livia	8932	2
Copidosoma floridanum	29053	2
Corapipo altera	415028	2
Corvus brachyrhynchos	85066	2
Corvus kubaryi	68294	2
Cricetulus griseus	10029	2
Crocodylus porosus	8502	2
Cuculus canorus	55661	2
Dufourea novaeangliae	178035	2
Cyanistes caeruleus	156563	2
Cyphomyrmex costatus	456900	2
Dendroctonus ponderosae	77166	2
Nestor notabilis	176057	2
Diachasma alloeum	454923	2
Dinoponera quadriceps	609295	2
Dromaius novaehollandiae	8790	2
Drosophila arizonae	7263	2
Drosophila guanche	7266	2
Drosophila navojoa	7232	2
Ceratosolen solmsi marchali	142686	2
Ceratitis capitata	7213	2
Cephus cinctus	211228	2
Centrocercus urophasianus	9002	2
Acropora digitifera	70779	2
Actinia tenebrosa	6105	2
Aedes albopictus	7160	2
Amyelois transitella	680683	2
Anoplophora glabripennis	217634	2
Anser cygnoides	8845	2
Apis cerana	7461	2
Apis dorsata	7462	2
Apis florea	7463	2
Aptenodytes forsteri	9233	2
Apteryx rowi	308060	2
Bactrocera latifrons	174628	2
Bombus bifarius	103933	2
Bombus impatiens	132113	2
Bombus vancouverensis nearcticus	2705177	2
Bombus vosnesenskii	207650	2
Bombyx mandarina	7092	2
Brugia malayi	6279	2
Calidris pugnax	198806	2
Camelus bactrianus	9837	2
Camponotus floridanus	104421	2
Dryobates pubescens	118200	2
Dermacentor andersoni	34620	2
Egretta garzetta	188379	2
Geospiza fortis	48883	2
Habropoda laboriosa	597456	2
Harpegnathos saltator	610380	2
Empidonax traillii	164674	2
Hyalella azteca	294128	2
Hyposmocoma kahamanoa	1477025	2
Lagopus leucura	30410	2
Lepidothrix coronata	321398	2
Leptinotarsa decemlineata	7539	2
Linepithema humile	83485	2
Acromyrmex echinatior	103372	2
Loa loa	7209	2
Manacus vitellinus	328815	2
Megachile rotundata	143995	2
Merops nubicus	57421	2
Musca domestica	7370	2
Myiozetetes cayanensis	478635	2
Neopelma chrysocephalum	114329	2
Glossina fuscipes	7396	2
Helobdella robusta	6412	2
Gavialis gangeticus	94835	2
Galendromus occidentalis	34638	2
Fopius arisanus	64838	2
Eufriesea mexicana	516756	2
Frieseomelitta varia	561572	2
Falco cherrug	345164	2
Falco peregrinus	8954	2
Myzus persicae	13164	1
Diuraphis noxia	143948	1
Diaphorina citri	121845	1
Bemisia tabaci	7038	1
Polistes fuscatus	30207	1
Balearica regulorum gibbericeps	925459	1
Opisthocomus hoazin	30419	1
Trichogramma pretiosum	7493	1
Athene cunicularia	194338	1
Eurypyga helias	54383	1
Necator americanus	51031	1
Polistes dominula	743375	1
Xenia sp. Carnegie-2017	2897299	1
Melanaphis sacchari	742174	1
Adelges cooleyi	133065	1
Apaloderma vittatum	57397	1
Antrostomus carolinensis	279965	1
Mesitornis unicolor	54374	1
Polistes canadensis	91411	1
Anneissia japonica	1529436	1
Pterocles gutturalis	240206	1
Tinamus guttatus	94827	1
Leptosomus discolor	188344	1
Gavia stellata	37040	1
Phalacrocorax carbo	9209	1
Phaethon lepturus	97097	1
Contarinia nasturtii	265458	1
Penaeus japonicus	27405	1
Sipha flava	143950	1
Colius striatus	57412	1
Cimex lectularius	79782	1
Chlamydotis macqueenii	187382	1
Pelecanus crispus	36300	1
Haliaeetus albicilla	8969	1
Haliaeetus leucocephalus	52644	1
Halyomorpha halys	286706	1
Fulmarus glacialis	30455	1
Cariama cristata	54380	1
Homarus americanus	6706	1
Frankliniella occidentalis	133901	1
Tauraco erythrolophus	121530	1
Daktulosphaira vitifoliae	58002	1
Buceros rhinoceros silvestris	175835	1
Pygoscelis adeliae	9238	1
Thrips palmi	161013	1
Zootermopsis nevadensis	136037	1
